r,psi
0.000000000000000000e+00,0.000000000000000000e+00
3.137254901960784270e-02,1.829389871997495753e-02
6.274509803921568540e-02,3.657428470215873251e-02
9.411764705882352811e-02,5.482773741064968925e-02
1.254901960784313708e-01,7.304085805313142998e-02
1.568627450980392135e-01,9.120040880256037596e-02
1.882352941176470562e-01,1.092932979940742927e-01
2.196078431372548989e-01,1.273066390132610304e-01
2.509803921568627416e-01,1.452277813951233787e-01
2.823529411764705843e-01,1.630443479111768623e-01
3.137254901960784270e-01,1.807442689977629691e-01
3.450980392156862697e-01,1.983158141224661830e-01
3.764705882352941124e-01,2.157476221931218519e-01
4.078431372549019551e-01,2.330287293888665401e-01
4.392156862745097978e-01,2.501485943829117597e-01
4.705882352941176405e-01,2.670971215119476994e-01
5.019607843137254832e-01,2.838646811658001590e-01
5.333333333333333259e-01,3.004421276536604624e-01
5.647058823529411686e-01,3.168208144919058000e-01
5.960784313725490113e-01,3.329926069837898517e-01
6.274509803921568540e-01,3.489498922368769462e-01
6.588235294117646967e-01,3.646855865808945052e-01
6.901960784313725394e-01,3.801931404325735731e-01
7.215686274509803821e-01,3.954665407230393837e-01
7.529411764705882248e-01,4.105003109333008049e-01
7.843137254901960675e-01,4.252895088616770458e-01
8.156862745098039102e-01,4.398297222302157694e-01
8.470588235294117530e-01,4.541170622577243021e-01
8.784313725490195957e-01,4.681481553357679792e-01
9.098039215686274384e-01,4.819201329419433022e-01
9.411764705882352811e-01,4.954306199529625587e-01
9.725490196078431238e-01,5.086777214914041112e-01
1.003921568627450966e+00,5.216600084677535110e-01
1.035294117647058698e+00,5.343765019767177105e-01
1.066666666666666652e+00,5.468266566810662255e-01
1.098039215686274606e+00,5.590103433546952383e-01
1.129411764705882337e+00,5.709278307160222665e-01
1.160784313725490069e+00,5.825797666891290305e-01
1.192156862745098023e+00,5.939671592491467811e-01
1.223529411764705976e+00,6.050913569538642900e-01
1.254901960784313708e+00,6.159540292954969187e-01
1.286274509803921440e+00,6.265571469970571128e-01
1.317647058823529393e+00,6.369029623311367461e-01
